"yapim_adi","yapim_turu","senaryo_ozeti"
"İçerde","dizi","İstanbul’un suçla örülü, dumanlı ve her köşesi operasyon haritalarıyla dolu tekinsiz
dünyasında, birbirlerinden habersiz olarak iki farklı tarafa (polis ve mafya) sızan iki kardeşin ( Sarp ve
Umut/Mert) sarsıcı hikayesi anlatılır. Sarp’ın ( Çağatay Ulusoy), bir polis okulunun mezuniyet
töreninde silah çekerek suç dünyasına 'sızması' hikayedeki en büyük kırılma noktasıdır. Karakterlerin
sığındığı o derme çatma, pencereleri rüzgar alan güvenli evler ve Celal Baba’nın ( Çetin Tekindor) o
meşhur kebapçı dükkanındaki dumanlı atmosfer, adaletin ve suçun birbirine karıştığı tekinsiz birer
ayna gibidir. Mert’in ( Aras Bulut İynemli), emniyet binasındaki o dürüst ama bir o kadar da sinsi
duruşu, karakterin aidiyet sorgulamasını yansıtan atmosferik detaylar sunar. Karakterlerin kendi
aralarındaki 'sadakat mi yoksa kardeşlik mi?' sorgulamaları, her bir odada fiziksel bir baskı yaratan
birer ayna işlevi görür. Bir gün ailenin en büyük sırrının bir bebek kasetiyle ortaya dökülmesi, hikayeyi
bir operasyondan sarsıcı bir aile savaşına taşır. Şehrin yer altı kumarhaneleri, izbe depolar ve gece
yarısı sirenlerin yankılandığı ıssız otoyollar, aksiyonun zirve noktalarıdır. Sarp ve Mert’in, bir vadi
kenarında veya Boğaz köprüsünde gerçekleştirdikleri o sarsıcı yüzleşme, sevginin ne kadar ağır bir
bedeli olduğunu belgeler. Şehrin üzerine çöken o ağır kış sisi ve Boğaz’ın hırçın suları, karakterlerin iç
dünyasındaki o bitmek bilmeyen fırtınayı simgeler. Final sahnelerinde, tüm düşmanların dize
getirilmesinin ardından iki kardeşin birbirlerine sarılarak 'içerdeler' dedikleri o son kare, adaletin ve
kan bağının zaferini vurgulayan destansı bir kapanış sunar. İstanbul’un ışıkları, bu isimsiz
kahramanların hatırasını ebediyen kendi içinde saklayacaktır."
"İçimdeki Fırtına","dizi","İstanbul’un modern ve pırıltılı cemiyet hayatında, birbirlerine büyük bir
nefretle bağlı olan iki kız kardeşin ( Deniz ve Elif), bir kaza ve ihanet sonucu hayatlarının altüst olması
anlatılır. Karakterlerin yaşadığı o her köşesi lüks ve modern sanat eserleriyle dolu yalı, geçmişin
karanlık sırlarını saklayan soğuk bir ayna gibidir; öte yanda yoksul mahallelerdeki o derme çatma,
pencereleri rüzgar alan evler bu masumiyete karşı duran tek dürüst sığınaktır. Karakterlerden birinin (
Merve Boluğur), kardeşini bir uçurumdan ittiği o sarsıcı saniye hikayedeki en büyük kırılma noktasıdır.
Holding binasındaki o şık ofislerde yapılan o sinsi pazarlıklar ve lüks otel odalarındaki o sessiz
gerilimler, gerilimi her geçen saniye tırmandıran atmosferik detaylar olarak işlenir. Karakterlerin
kendi aralarındaki 'içimdeki fırtına dinmeyecek' temalı sert hesaplaşmaları, her bir odada fiziksel bir
baskı yaratan birer ayna işlevi görür. Bir gün ailenin en büyük sırrının bir mektupla tüm yalıda
yankılanması, hikayeyi bir dramdan sarsıcı bir intikam savaşına taşır. Şehrin üzerine çöken akşam sisi
ve vapurların o acı sireni, bitmek bilmeyen bir mücadelenin sembolleridir. Karakterlerin aynaya
baktıklarında o eski dürüst yüzlerini değil de yorgun birer 'katil' görmeleri, ruhsal bir çöküşün
sinematik kanıtıdır. Final sahnelerinde, tüm yalanların dürüstlükle temizlendiği ama iki kardeşin de
kendi acılarıyla baş başa kaldığı o huzurlu kare, onurun her türlü şatafattan üstün olduğunu
vurgulayan sarsıcı bir kapanış sunar. İstanbul’un ışıkları, bu yaralı aşıkların hatırasını ebediyen o yalı
duvarları arasında saklayacaktır."
"İçimizden Biri","dizi","Muğla’nın o her köşesi huzur ve begonvil kokan bir kasabasında, İrlandalı bir
genç olan Adam ile muhafazakar bir ailenin kızı Havva’nın imkansız aşkı anlatılır. Adam’ın ( Bora
Akkaş), babasının bir papaz olduğu halde havva’ya aşık olması ve bu durumu ailesine açıklamaya
çalışması hikayedeki en büyük komik kırılma noktasıdır. Havva’nın ( Özge Yağız) yaşadığı o her köşesi
derman kokan mütevazı evi, ailenin sarsılmaz bağlarını yansıtan samimi bir ayna gibidir; ancak iki
farklı dinin ve kültürün çarpıştığı o akşam yemeği sofraları bu karanlığa sızan ilk ışık noktasıdır. Kasaba
pazar yerindeki fısıltılar, dumanlı kahvehaneler ve sahil kenarında yapılan o 'geçmişin hesabı' temalı
yürüyüşler, dramaturjiyi besleyen atmosferik detaylardır. Karakterlerin kendi aralarındaki 'içimizden
biri oldun artık' diyerek yaptıkları o içten atışmalar, Türk-İrlanda dostluğunun o sönmeyen neşesini
belgeler. Bir gün aileden birinin başına gelen bir yanlış anlama veya düğün telaşı, tüm halkı tek vücut
haline getiren sarsıcı bir zirve noktası yaratır. Şehrin neon ışıklı yolları ile Ege’nin o dingin doğası
arasındaki tezatlık, karakterlerin aidiyet sorgulamasını simgeler. Karakterlerin kılık değiştirmeleri ve
düğün sahnelerine 'sanal' müdahaleleri, izleyiciyi kahkahaya boğan sinematik birer imzadır. Final
sahnelerinde, tüm engellere rağmen Adam ve Havva’nın mahalle meydanında düzenlenen o coşkulu
düğün töreni, sevginin her türlü dili ve kültürü yeneceğini vurgulayan umut dolu bir kapanış sunar.
Muğla’nın akşam güneşi, bu 'yeni' aşıkların üzerine doğarak sonsuz bir huzuru müjdeler."
"İşe Yarar Bir Şey","film","Ankara’dan bir gece yarısı yola çıkan bir trende, yolları kesişen bir şairin (
Leyla) ve bir hemşirenin ( Canan), sonu belirsiz bir yolculukta kurdukları o mistik bağ anlatılır. Trenin o
demir kaplı vagonları, gıcırdayan tekerlekleri ve her köşesine sinmiş olan o dumanlı atmosfer,
karakterlerin iç dünyasındaki yalnızlığı yansıtan bir ayna gibidir; tren penceresinden akan o gri bozkır
görüntüleri ise her adımda yankılanan varoluşçu birer sorudur. Karakterlerin, bir kompartımanda
birbirlerine 'yabancı' kalarak başladıkları sohbetin bir itirafa dönüşmesi hikayedeki en büyük kırılma
noktasıdır. Bozkırın o dondurucu rüzgarı, tozlu istasyonlar ve gece yarısı ay ışığında parlayan raylar,
bu 'işe yarar' hikayenin atmosferik mekanlarıdır. Karakterlerin kendi aralarındaki 'hayat nedir?' ve
'ölüm neyi simgeler?' temalı derin dertleşmeleri, modern insanın aidiyet krizini belgeler. Bir gün
trenin bir istasyonda mola vermesi ve karakterlerin bir hastanın ( Yavuz) yanına sığınmaları,
dramaturjinin ulaştığı en yüksek duygusal zirvedir. Şehrin neon ışıklı yolları yerine rayların o mutlak
sessizliği arasındaki tezatlık, karakterlerin özlem duygusunu derinleştirir. Başak Köklükaya’nın o
muazzam oyunculuğu ve karakterin aynadaki yansımasına bakarak yaptığı o sessiz hesaplaşmalar,
ruhsal bir arınma sürecinin parçasıdır. Final sahnelerinde, trenin son durağına ulaştığı ve karakterlerin
bir vapurun güvertesinde İstanbul değil de uyanan şehre özgür gözlerle baktıkları o huzurlu kare,
hayatın her şeye rağmen yaşanmaya değer olduğunu vurgulayan sarsıcı bir kapanış sunar.
Anadolu’nun batan güneşi, bu iki yolcunun hatırasını ebediyen o rayların arasında saklayacaktır."
"İşler Güçler","dizi","Modern İstanbul’un kaotik dizi setlerinde ve Cihangir’in dumanlı kafelerinde,
kendi filmlerini çekme hayali kuran üç oyuncunun (Ahmet, Murat ve Sadi) absürt ve trajikomik
hikayesi anlatılır. Karakterlerin sığındığı o her köşesi senaryo taslaklarıyla dolu derme çatma bekar
evi, hayalleri ile gerçekler arasındaki uçurumu yansıtan samimi bir ayna gibidir; ancak yapımcıların o
cam duvarlı, soğuk ofisleri bu özgürlüğe karşı duran tekinsiz birer barikattır. Bir gece yarısı set
çıkışında aldıkları o hüzünlü haber, hikayedeki en büyük kırılma noktasını oluşturur. Beyoğlu’nun o
dar sokakları, tarihi vapur iskeleleri ve gece yarısı sirenlerin yankılandığı meydanlar, bir devrin dizi
sektörünü belgeler. Karakterlerin kendi aralarındaki 'meslek onuru' temalı zeka dolu atışmaları, Türk
insanının o sönmeyen yaşama sevincini yansıtan sinematik zirvelerdir. Bir gün holding binasında
düzenlenen büyük bir lansman sırasında sergiledikleri o vakur duruş, başarının şatafatta değil
dürüstlükte olduğunu kanıtlar. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, yarım kalan
duyguların sembolleridir. Karakterlerin aynaya baktıklarında o eski figüran hallerini değil de birer
'yönetmen' gördüğü o an, ruhsal bir uyanışın parçasıdır. Final sahnelerinde, tüm engellere rağmen
çektikleri filmin galasında el ele tutuşan üç arkadaşın o huzurlu karesi, dostluğun paradan daha
önemli olduğunu vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'modern
kabadayı' oyuncuların üzerine doğarak sonsuz bir huzuru müjdeler."
"İşportacı Kız","film","1970'lerin nostaljik ve bir o kadar da yoksul İstanbul mahallelerinden birinde,
geçimini sokaklarda işportacılık yaparak sağlayan masum bir kızın (Kartal Tibet ve Filiz Akın), zengin
bir gencin hayatına girmesiyle başlayan masalsı aşkı anlatılır. Kızın yaşadığı o her sabah taze ekmek
kokusuyla uyanan derme çatma gecekondu evi, bir dürüstlük ve saflık kalesi gibidir; ancak zengin
gencin yaşadığı o şatafatlı, Boğaz manzaralı yalı bu masumiyete karşı duran tekinsiz bir dünyadır.
Kızın, bir gece yarısı pazar yerinde zabıtalardan kaçarken gencin arabasına sığınması hikayedeki en
büyük kırılma noktasıdır. Şehrin tarihi hanları, dumanlı pavyon salonları ve gece yarısı sığınılan o sahil
kenarı bankları, Yeşilçam’ın o unutulmaz atmosferik detaylarıdır. Karakterlerin kendi aralarındaki
'onur mu yoksa para mı?' temalı sert hesaplaşmaları, toplumsal sınıfların yarattığı o ironik aynayı
belgeler. Bir gün malikanede düzenlenen büyük bir davet sırasında kızın sergilediği o vakur duruş, bir
kadının uyanışını simgeleyen sinematik bir zirvedir. Şehrin üzerine çöken akşam sisi ve vapurların o
acı sireni, bitmek bilmeyen bir mücadelenin sembolleridir. Karakterlerin kılık değiştirmeleri ve düğün
sahnelerine 'işportacı' olarak sızmaları, izleyiciyi hem güldüren hem de duygulandıran sinematik birer
imzadır. Finalde, tüm yalanların dürüstlükle temizlendiği ve iki aşığın mahalle meydanında el ele
yürüdükleri o huzurlu kare, samimiyetin her türlü gösterişi yeneceğini vurgulayan neşeli bir kapanış
sunar. İstanbul’un akşam güneşi, bu 'has mahalleli' kızın samimi gülümsemesiyle parlayarak huzurlu
bir hayatın kapılarını aralar."
"Şabaniye","film","Kan davasından kaçmak için kadın kılığına giren ve 'Şabaniye' adıyla sahne almaya
başlayan saf ve masum Şaban’ın (Kemal Sunal), pavyon dünyasının pırıltısı içindeki absürt macerası
anlatılır. Şaban’ın yaşadığı o her köşesi peruklarla ve makyaj malzemeleriyle dolu derme çatma kulis
odası, onun dünyaya karşı olan o hüzünlü gizlenişini yansıtan bir ayna gibidir; ancak peşindeki
katillerin o dumanlı pavyon salonlarındaki tekinsiz bekleyişleri bu huzuru bozan en büyük kırılma
noktasıdır. Şehrin lüks gece kulüpleri, izbe depolar ve gece yarısı sirenlerin yankılandığı ıssız otoyollar,
karakterin kaçış ve takip planlarını kurguladığı atmosferik mekanlardır. Kemal Sunal’ın o meşhur 'saf
ama uyanık' karakteriyle, düşmanlarını kendi zekasıyla ve dansıyla dize getirdiği o sahneler, izleyiciyi
kahkahaya boğan sinematik birer zirvedir. Karakterlerin kendi aralarındaki 'racon' ve 'şeref' temalı
hıçkırık dolu dertleşmeleri, Türk insanının o sönmeyen neşesini belgeler. Bir gün sahnede şarkı
söylerken gerçek kimliğinin ortaya çıkma tehlikesiyle karşı karşıya kalması, gerilimi kahkahayla
harmanlayan sarsıcı bir zirve noktası yaratır. Şehrin üzerine çöken akşam sisi ve odadaki o tek
ampulün ışığı, yoksulluğun içindeki o sönmeyen umudu temsil eder. Final sahnelerinde, tüm
düşmanların dize getirilmesinin ardından Şaban’ın gerçek kimliğiyle sevdiği kızın elini tutup köyüne
döndüğü o huzurlu kare, adaletin ve dürüstlüğün zaferini vurgulayan neşeli bir kapanış sunar.
İstanbul’un akşam güneşi, bu 'şifreli' kahramanın üzerine doğarak sonsuz bir huzuru müjdeler."
"Şafakta Buluşalım (film, 1975)","film","1970'li yılların o kendine has kabadayılık raconlarının ve
sarsılmaz onur kurallarının hüküm sürdüğü İstanbul sokaklarında, bir haksızlığa karşı tek başına savaş
açan bir babanın (Cüneyt Arkın), ailesini korumak adına girdiği o kanlı intikam yolculuğu anlatılır.
Karakterin yaşadığı o her köşesi eski takımlar ve asılı duran kabadayı ceketleriyle dolu odası, onun o
güne kadar kurduğu sarsılmaz dünyasını yansıtan bir ayna gibidir; şehrin yeraltı dünyasındaki o lüks
kumarhaneler ve dumanlı pavyonlar ise bu dürüstlüğe karşı duran tekinsiz birer unsurdur.
Kahramanın, bir arkadaşının haksız yere öldürülmesine şahit olması hikayede masumiyetin bittiği ve
intikam ateşinin başladığı en büyük kırılma noktasıdır. Şehrin dar sokakları, liman bölgesindeki izbe
depolar ve gece yarısı sirenlerin yankılandığı meydanlar, aksiyonun zirve noktalarıdır. Cüneyt Arkın’ın
o meşhur antrenman sahneleri ve tek başına bir orduya karşı koyduğu o kahramanca anlar, onurun ve
bilek gücünün sinematik birer zaferidir. Karakterlerin kendi aralarındaki 'şafakta buluşacağız' temalı
sert ve vakur konuşmaları, Türk aksiyon sinemasının o sarsılmaz ruhunu belgeler. Bir suç baronunun
malikanesine yapılan o şafak baskını ve ardından gelen nefes kesici kovalama sahneleri, gerilimi her
saniye tırmandıran atmosferik detaylar sunar. Karakterin, aynaya baktığında o eski huzurlu yüzünü bir
daha görememesi, dramaturjinin en yüksek trajik katmanıdır. Finalde, düşmanlarını dize getirdikten
sonra sahil kenarında elinde bir bardak çayla uzaklara bakan kahramanın o vakur silüeti, onurun
paradan ve güçten daha değerli olduğunu vurgulayan destansı bir kapanış sunar. İstanbul’un akşam
sisi, bu isimsiz kahramanın hatırasını ebediyen kendi içinde saklayacaktır."
"Şahane Damat","dizi","İstanbul’un pırıltılı cemiyet hayatından kaçıp orta halli bir mahallenin derman
dolu sokaklarına sığınan bir gencin ( Mehmet), zengin bir ailenin kızıyla yaşadığı o neşeli ve bir o kadar
da yalanlarla örülü aşkı anlatılır. Mehmet’in sığındığı o her köşesi taze ekmek kokusuyla uyanan
mütevazı evi, ailenin sarsılmaz bağlarını yansıtan samimi bir ayna gibidir; ancak zengin ve kuralcı bir
ailenin malikanesinde 'damat' olarak kabul edilmesi bu huzuru bozan neşeli birer engeldir. Karakterin,
ailesini etkilemek için girdiği o komik 'zengin iş adamı' rolleri ve ardından gelen sakarlıklar hikayedeki
en büyük kırılma noktasıdır. Mahalle kahvehanesindeki dumanlı sohbetler, pazar yerindeki neşeli
atışmalar ve sahil kenarında yapılan o 'ilk görüşte aşk' yürüyüşleri, dramaturjiyi besleyen atmosferik
detaylardır. Karakterlerin kendi aralarındaki 'şahane bir damat mıyım?' diyerek yaptıkları o içten
atışmalar, Türk insanının o sönmeyen neşesini belgeler. Bir gün malikanede düzenlenen büyük bir
lansman sırasında tüm yalanların birer birer dökülmesi, gerilimi kahkahayla harmanlayan sarsıcı bir
zirve noktası yaratır. Şehrin neon ışıklı yolları ile mahallenin o loş sokakları arasındaki tezatlık,
karakterlerin aidiyet sorgulamasını simgeler. Karakterlerin kılık değiştirmeleri ve düğün sahnelerine
'sanal' müdahaleleri, izleyiciyi kahkahaya boğan sinematik birer imzadır. Final sahnelerinde, tüm
yalanların dürüstlükle temizlendiği ve Mehmet ile sevgilisinin mahalle meydanında düzenlenen o
coşkulu düğün töreni, sevginin her türlü engeli yeneceğini vurgulayan umut dolu bir kapanış sunar.
İstanbul’un akşam güneşi, bu 'has mahalleli' aşıkların üzerine doğarak sonsuz bir huzuru müjdeler."
"Şahane Hayatım","dizi","İstanbul’un modern, pırıltılı ve bir o kadar da tehlikeli cemiyet hayatında,
yoksul geçmişini silip zengin bir hayat kuran Şebnem’in ( Hilal Altınbilek), geçmişin hayaletleriyle
yüzleşmesi anlatılır. Şebnem’in yaşadığı o ultra modern, cam duvarlı ve her köşesi güvenlik
kameralarıyla korunan malikane, karakterin içindeki o 'yabancı' ruhu yansıtan parlak ama soğuk bir
ayna gibidir; ancak mahalledeki o derme çatma, pencereleri rüzgar alan çocukluk evi bu masumiyete
karşı duran tek dürüst sığınaktır. Karakterin, bir gece yarısı yalıda patlak veren bir şantaj haberiyle
tüm hayatının altüst olması hikayedeki en büyük kırılma noktasıdır. Şehrin lüks restoranlarındaki
sahte gülümsemeler, şık davetler ve gece yarısı Boğaz kenarında yapılan o 'intikam' provaları,
romantizmin ve gerilimi tırmandıran atmosferik sahnelerdir. Karakterlerin kendi aralarındaki 'sadakat
mi yoksa hırs mı?' sorgulamaları, her bir odada fiziksel bir baskı yaratan birer ayna işlevi görür. Bir gün
ailenin en büyük sırrının bir video kaydıyla tüm şehirde yankılanması, hikayeyi bir dramdan sarsıcı bir
suç savaşına taşır. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir
mücadelenin sembolleridir. Şebnem’in, aynaya baktığında o eski dürüst yüzünü değil de yorgun birer
'günahkar' görmesi, ruhsal bir çöküşün sinematik kanıtıdır. Final sahnelerinde, tüm düşmanların dize
getirilmesinin ardından Şebnem’in kendi onuruyla malikanenin kapılarından el ele dışarı çıktığı o
huzurlu kare, adaletin ve onurun her türlü şatafattan üstün olduğunu vurgulayan sarsıcı bir kapanış
sunar. İstanbul’un ışıkları, bu yaralı aşıkların hatırasını ebediyen o yalı duvarları arasında
saklayacaktır."
"Şahin Tepesi","dizi","İstanbul’un modern, pırıltılı ve bir o kadar da acımasız cemiyet hayatında, bir
yanda köklü bir kozmetik imparatorluğunun veliahdı olan Deniz, diğer yanda ise dürüstlüğüyle hayata
tutunmaya çalışan genç bir kadının tutkulu aşkı anlatılır. Karakterlerin yaşadığı o her köşesi lüks ve
modern sanat eserleriyle dolu yalı, geçmişin karanlık sırlarını saklayan soğuk bir ayna gibidir; öte
yanda yoksul mahallelerdeki o derme çatma, pencereleri rüzgar alan evler bu masumiyete karşı
duran tek dürüst sığınaktır. Karakterlerden birinin ( Ebru), ailesinin onurunu korumak adına işlediği o
küçük günahlar ve ardından gelen büyük ihanetler hikayedeki en büyük kırılma noktasıdır. Holding
binasındaki o şık ofislerde yapılan o sinsi pazarlıklar ve lüks otel odalarındaki o sessiz gerilimler,
gerilimi her geçen saniye tırmandıran atmosferik detaylar olarak işlenir. Karakterlerin kendi
aralarındaki 'sadakat mi yoksa hırs mı?' sorgulamaları, her bir odada fiziksel bir baskı yaratan birer
ayna işlevi görür. Bir gün ailenin en büyük sırrının bir mektupla tüm yalıda yankılanması, hikayeyi bir
aşk dramasından sarsıcı bir intikam savaşına taşır. Gece yarısı Boğaz kenarında gerçekleştirilen o
sarsıcı yüzleşme ve ardından gelen hıçkırıklar, sevginin ne kadar ağır bir bedeli olduğunu gösteren
duygusal zirvelerdir. Şehrin üzerine çöken akşam sisi ve vapurların o acı sireni, bitmek bilmeyen bir
mücadelenin sembolleridir. Karakterlerin aynaya baktıklarında o eski dürüst yüzlerini değil de yorgun
birer 'mahpus' görmeleri, ruhsal bir çöküşün sinematik kanıtıdır. Final sahnelerinde, tüm yalanların
dürüstlükle temizlendiği ve her bir karakterin kendi gerçeğiyle yüzleştiği o huzurlu kare, adaletin ve
onurun her türlü şatafattan üstün olduğunu vurgulayan sarsıcı bir kapanış sunar. İstanbul’un ışıkları,
bu yaralı aşıkların yeni yolunu müjdelercesine ufukta parlar."
"Şaka Yapma","film","İstanbul’un orta halli bir mahallesinde yaşayan, tek tutkusu arkadaşlarına eşek
şakaları yapmak olan haylaz bir gencin ( Metin Akpınar ve Zeki Alasya), bir gün yaptığı şakanın
kontrolden çıkıp bir mafya hesaplaşmasına dönüşmesi anlatılır. Karakterlerin yaşadığı o her sabah
neşeyle uyanan mütevazı evi, ailenin sarsılmaz bağlarını yansıtan samimi bir ayna gibidir; ancak bir
gece yarısı yalıda değil de mahalle bakkalında patlak veren bir yanlış anlama haberi bu huzuru bozan
en büyük komik kırılma noktasıdır. Karakterlerin, kendilerini birer 'kahraman' olarak görüp girdiği o
absürt maceralar ve ardından gelen komik sakarlıklar, gerilimi kahkahayla harmanlayan atmosferik
detaylardır. Mahalle kahvehanesindeki dumanlı sohbetler, pazar yerindeki neşeli atışmalar ve sahil
kenarında yapılan o 'geçmişin hesabı' temalı yürüyüşler, bir devrin sosyokültürel yapısını belgeler.
Karakterlerin kendi aralarındaki 'şaka bir emektir' temalı derin ama bir o kadar da mizahi
dertleşmeleri, Türk insanının o sönmeyen neşesini belgeler. Bir gün holding binasının otoparkında
gerçekleştirilen o komik çatışma ve ekibin kendi ayağına dolanan o sinsi planları, hayatta kalmanın ne
kadar şans eseri olduğunu gösteren duyusal detaylardır. Şehrin üzerine çöken akşam sisi ve odadaki o
tek ampulün ışığı, yoksulluğun içindeki o sönmeyen umudu temsil eder. Karakterlerin kılık
değiştirmeleri ve düğün sahnelerine 'sanal' müdahaleleri değil de kiralık traktörlerle sızmaları,
izleyiciyi kahkahaya boğan sinematik birer imzadır. Final sahnelerinde, tüm yalanların dürüstlükle
temizlendiği ve mahalle meydanında kurulan o büyük sofrada herkesin birlikte güldüğü o huzurlu
kare, birliğin her türlü fırtınayı yeneceğini vurgulayan umut dolu bir kapanış sunar. İstanbul’un akşam
güneşi, bu 'has mahalleli' şakacıların samimi gülümsemesiyle parlayarak sonsuz bir huzuru müjdeler."
"Şampiyon","dizi","İstanbul’un yoksul ve orta halli mahallelerinden, ringlerin pırıltılı ama bir o kadar
da acımasız dünyasına uzanan bu dramda, eski bir boks şampiyonu olan Fırat’ın ( Tolgahan Sayışman),
oğlu için ringlere geri dönme mücadelesi anlatılır. Fırat’ın yaşadığı o her köşesi anılarla ve ter
kokusuyla dolu derme çatma spor salonu, onun dünyaya karşı olan o vakur duruşunu yansıtan bir
ayna gibidir; ancak rakiplerinin yaşadığı o lüks, yüksek teknolojili spor tesisleri bu dürüstlüğe karşı
duran tekinsiz bir dünyadır. Fırat’ın, bir maç sırasında eşini kaybetmesi ve oğlunun hastalığı için son
kez eldivenlerini giymesi hikayedeki en büyük kırılma noktasıdır. Şehrin yer altı kumarhaneleri,
dumanlı pavyon salonları ve gece yarısı sirenlerin yankılandığı ıssız meydanlar, aksiyonun zirve
noktalarıdır. Karakterlerin kendi aralarındaki 'vatan' ve 'evlat' temalı vakur konuşmaları, Türk spor
tarihinin o asil ruhunu belgeler. Bir gün ringde patlak veren büyük bir haksızlık ve Fırat’ın adaleti
kendi elleriyle araması, dramaturjiyi zirveye taşıyan duygusal birer dönemeçtir. Şehrin üzerine çöken
o ağır barut dumanı değil de o dönemin umut dolu sisi, zaferin ve bağımsızlığın ne kadar yakın
olduğunu gösteren birer ayna işlevi görür. Fırat’ın, aynaya baktığında o eski şampiyon halini değil de
yorgun birer 'baba' görmeleri, ruhsal bir arınma sürecinin parçasıdır. Final sahnelerinde, şampiyonluk
kemerini beline takan Fırat’ın oğluyla birlikte sahil kenarında el ele yürüdüğü o huzurlu kare,
başarının şatafatta değil dürüstlükte olduğunu vurgulayan destansı bir kapanış sunar. İstanbul’un
akşam ışıkları, bu isimsiz kahramanın hatırasını ebediyen kendi içinde saklayacaktır."
"Şark Ekspresinde Cinayet (film, 1974)","film","1930'lu yılların karlı ve dondurucu kış aylarında,
İstanbul’dan Paris’e giden o efsanevi Şark Ekspresi’nde işlenen gizemli bir cinayeti ve dedektif Hercule
Poirot’nun adaleti arama hikayesini konu alır. Trenin o altın varaklı vagonları, kristal kadehlerin
yankılandığı yemek salonu ve her kompartımanda saklanan sırlar, bir devrin aristokratik dünyasını
yansıtan buz gibi bir ayna gibidir; ancak karların yolu kapattığı o mutlak sessizlik bu huzuru bozan en
büyük kırılma noktasıdır. Dedektifin, bir gece yarısı trendeki her yolcunun ifadesini alırken sergilediği
o vakur ve zeka dolu duruşu, dramaturjiyi her saniye tırmandıran atmosferik detaylar sunar.
Balkanlar’ın o dumanlı dağ yolları, dondurucu rüzgar ve gece yarısı ay ışığında parlayan raylar, bu
'gizem' hikayesinin atmosferik mekanlarıdır. Karakterlerin kendi aralarındaki 'adalet mülkün
temelidir' temalı vakur tartışmaları, sistemin yozlaşmış yapısını belgeler. Bir gün trende patlak veren
ikinci bir saldırı veya bir kanıtın bulunması, tüm yolcuları tek vücut haline getiren sarsıcı bir zirve
noktası yaratır. Poirot’nun ( Albert Finney), aynaya baktığında o eski dürüst dedektif yüzünü değil de
yorgun birer 'hakim' görmesi, ruhsal bir çöküşün sinematik kanıtıdır. Final sahnelerinde, tüm
yalanların dürüstlükle temizlendiği ve gerçek katilin deşifre olduğu o huzurlu kare, adaletin bazen ne
kadar ağır bir bedeli olduğunu vurgulayan destansı bir kapanış sunar. Karadeniz’in değil de
Balkanların batan güneşi, bu 'şark' efsanesinin izlerini ebediyen o karların arasında saklayacaktır."
"Şaşkın Bakkal 216","dizi","İstanbul’un tarihi dokusuyla örülü bir mahallesinde, her köşesi dayanışma
ve neşeyle yankılanan derme çatma evlerin arasında yaşayan Safiye’nin, bir gün eline geçen gizemli
bir nesneyle (sihirli bir lamba veya ayna) hayatının nasıl bir masalsı maceraya dönüştüğü anlatılır.
Safiye’nin ( Perran Kutman), her sabah taze demlenmiş çay kokusuyla uyanan mütevazı evi, Türk
mahalle kültürünün o sarsılmaz kalesini yansıtan samimi bir ayna gibidir; mahalledeki o meraklı
komşuların fısıltıları ve pazar yerindeki neşeli atışmalar ise bu sakinliğe eşlik eden birer koro gibidir.
Safiye’nin, sihirli güçlerini mahalleliyi korumak veya haksızlıklara karşı durmak için kullanması
hikayedeki en büyük komik kırılma noktasıdır. Karakterlerin mahalle bakkalı önündeki samimi
dertleşmeleri, vapur iskelelerindeki o hüzünlü bekleyişleri ve gece yarısı sahilde yenen simitler, bir
devrin sosyokültürel yapısını belgeler. Bir gün mahalleye zengin bir iş adamının gelip dükkanları satın
almak istemesi, hikayeyi bir komediden sarsıcı bir direniş masalına taşıyan zirve noktasıdır.
Karakterlerin kendi aralarındaki 'safiye abla bizi kurtar' diyerek verdikleri o sarsılmaz sözler, dostluğun
paradan daha önemli olduğunu gösteren sinematik zirvelerdir. Safiye’nin, kibrini bir kenara bırakıp
mahalle bakkalıyla dertleştiği o hüzünlü akşamüstü, bir kadının ruhsal arınma sürecini belgeler. Şehrin
neon ışıklı o uzak yolları ile mahallenin o loş sokakları arasındaki tezatlık, karakterlerin özlem
duygusunu derinleştirir. Karakterlerin kılık değiştirmeleri ve düğün sahnelerine 'sanal' müdahaleleri
değil de sihirli dokunuşlarla sızmaları, izleyiciyi her saniye güldüren birer sinematik imzadır. Final
sahnelerinde, tüm engellere rağmen mahallenin yıkılmadığı ve Safiye’nin tüm sevdikleriyle birlikte
bahçedeki o büyük sofrada güldüğü o huzurlu kare, birliğin her türlü fırtınayı yeneceğini vurgulayan
umut dolu bir kapanış sunar. İstanbul’un akşam güneşi, bu 'has mahalleli' insanların samimi
gülümsemesiyle parlayarak sonsuz bir huzuru müjdeler."
